world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,10000.0,50.0,1.0,1073.7443439,3683.0,-2609.2556561,-70.8459314716264,1070.2458557,3671.0,-2600.7541443,-70.84593147098883,4.3837718653,-3666.6162281347,-99.88058371383002,4.5803925367
100.0,10000.0,50.0,1.0,1073.7443439,3683.0,-2609.2556561,-70.8459314716264,1070.2458557,3671.0,-2600.7541443,-70.84593147098883,4.3837718653,-3666.6162281347,-99.88058371383002,4.5803925367
100.0,10000.0,50.0,1.5,1073.7443439,1643.0,-569.2556560999999,-34.6473314729154,1066.5555503,1632.0,-565.4444497,-34.64733147671568,3.3857642055,-1628.6142357945,-99.79253895799633,3.5014543176
50.0,10000.0,50.0,1.5,1073.7443439,1643.0,-569.2556560999999,-34.6473314729154,1066.5555503,1632.0,-565.4444497,-34.64733147671568,3.3857642055,-1628.6142357945,-99.79253895799633,3.5014543176
50.0,10000.0,50.0,1.8092,1073.7443439,1108.0000001,-34.255656199999976,-3.0916657217426273,1063.0844271,1097.0000001,-33.915572999999995,-3.0916657244219077,2.9798577134,-1094.0201423866001,-99.72836301612321,3.0689792837
100.0,10000.0,50.0,1.8092,1073.7443439,1108.0000001,-34.255656199999976,-3.0916657217426273,1063.0844271,1097.0000001,-33.915572999999995,-3.0916657244219077,2.9798577134,-1094.0201423866001,-99.72836301612321,3.0689792837
100.0,10000.0,50.0,1.84014,1073.7443439,1911.0000003,-837.2556563999999,-43.81243622546115,1058.011826,1883.0000002,-824.9881742,-43.812436224767666,4.0323448342,-1878.9676553657998,-99.78585529294892,4.1978995398
50.0,10000.0,50.0,1.84014,1073.7443439,1911.0000003,-837.2556563999999,-43.81243622546115,1058.011826,1883.0000002,-824.9881742,-43.812436224767666,4.0323448342,-1878.9676553657998,-99.78585529294892,4.1978995398
50.0,10000.0,50.0,1.8716,1073.7443439,2901.0,-1827.2556561,-62.98709603929679,1055.97815,2853.0,-1797.02185,-62.987096039256926,3.9650937216,-2849.0349062784,-99.8610201990326,4.1250242446
100.0,10000.0,50.0,1.8716,1073.7443439,2901.0,-1827.2556561,-62.98709603929679,1055.97815,2853.0,-1797.02185,-62.987096039256926,3.9650937216,-2849.0349062784,-99.8610201990326,4.1250242446
100.0,10000.0,50.0,2.0,1073.7443439,3922.0,-2848.2556561,-72.62253075216726,1054.8538901,3853.0,-2798.1461099,-72.62253075266027,5.4403299598,-3847.5596700402,-99.85880275214637,5.7476547926
50.0,10000.0,50.0,2.0,1073.7443439,3922.0,-2848.2556561,-72.62253075216726,1054.8538901,3853.0,-2798.1461099,-72.62253075266027,5.4403299598,-3847.5596700402,-99.85880275214637,5.7476547926
50.0,10000.0,50.0,2.281,1073.7443439,2828.0,-1754.2556561,-62.031671007779345,1055.8992293,2781.0,-1725.1007707,-62.03167100683208,4.8741954511,-2776.1258045489,-99.82473227432219,5.1189334516
100.0,10000.0,50.0,2.281,1073.7443439,2828.0,-1754.2556561,-62.031671007779345,1055.8992293,2781.0,-1725.1007707,-62.03167100683208,4.8741954511,-2776.1258045489,-99.82473227432219,5.1189334516
100.0,10000.0,50.0,2.4235,1073.7443439,2833.0,-1759.2556561,-62.098681824920575,1055.9307243,2786.0,-1730.0692757,-62.0986818269921,5.4761553741,-2780.5238446259,-99.80344022347093,5.7876985853
50.0,10000.0,50.0,2.4235,1073.7443439,2833.0,-1759.2556561,-62.098681824920575,1055.9307243,2786.0,-1730.0692757,-62.0986818269921,5.4761553741,-2780.5238446259,-99.80344022347093,5.7876985853
