world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,250.0,50.0,1.0,3669.4038009,3683.0,-13.596199099999922,-0.3691609856095553,3657.4481003,3671.0,-13.551899699999922,-0.3691609833832722,145.72127461,-3525.27872539,-96.03047467692727,151.09769054
100.0,250.0,50.0,1.0,3669.4038009,3683.0,-13.596199099999922,-0.3691609856095553,3657.4481003,3671.0,-13.551899699999922,-0.3691609833832722,145.72127461,-3525.27872539,-96.03047467692727,151.09769054
100.0,250.0,50.0,1.0,3669.4038009,3683.0,-13.596199099999922,-0.3691609856095553,3657.4481003,3671.0,-13.551899699999922,-0.3691609833832722,145.72127461,-3525.27872539,-96.03047467692727,151.09769054
50.0,250.0,50.0,1.0,3669.4038009,3683.0,-13.596199099999922,-0.3691609856095553,3657.4481003,3671.0,-13.551899699999922,-0.3691609833832722,145.72127461,-3525.27872539,-96.03047467692727,151.09769054
50.0,250.0,50.0,1.5,1636.0036856,1643.0,-6.996314400000074,-0.4258255873402358,1625.0505264,1632.0,-6.949473599999919,-0.4258255882352892,73.854794681,-1558.145205319,-95.47458365925246,75.202821735
100.0,250.0,50.0,1.5,1636.0036856,1643.0,-6.996314400000074,-0.4258255873402358,1625.0505264,1632.0,-6.949473599999919,-0.4258255882352892,73.854794681,-1558.145205319,-95.47458365925246,75.202821735
100.0,250.0,50.0,1.8092,1093.6798777,1108.0000001,-14.320122400000173,-1.292429819377955,1082.822045,1097.0000001,-14.17795510000019,-1.2924298175667968,48.636833444,-1048.363166656,-95.56637799092374,49.216608809
50.0,250.0,50.0,1.8092,1093.6798777,1108.0000001,-14.320122400000173,-1.292429819377955,1082.822045,1097.0000001,-14.17795510000019,-1.2924298175667968,48.636833444,-1048.363166656,-95.56637799092374,49.216608809
50.0,250.0,50.0,1.84014,3095.3850525,1911.0000003,1184.3850521999998,61.97723977049022,3050.0314254,1883.0000002,1167.0314252,61.97723978099021,124.45603559,-1758.5439646099999,-93.39054511010191,128.34950501
100.0,250.0,50.0,1.84014,3095.3850525,1911.0000003,1184.3850521999998,61.97723977049022,3050.0314254,1883.0000002,1167.0314252,61.97723978099021,124.45603559,-1758.5439646099999,-93.39054511010191,128.34950501
100.0,250.0,50.0,1.8716,3011.3779763,2901.0,110.37797629999977,3.8048251051361524,2961.5516602,2853.0,108.55166019999979,3.8048251033999225,121.52379965,-2731.47620035,-95.74049072379951,125.23228443
50.0,250.0,50.0,1.8716,3011.3779763,2901.0,110.37797629999977,3.8048251051361524,2961.5516602,2853.0,108.55166019999979,3.8048251033999225,121.52379965,-2731.47620035,-95.74049072379951,125.23228443
50.0,250.0,50.0,2.0,3790.5323971,3922.0,-131.4676029000002,-3.352055147883738,3723.8453151,3853.0,-129.15468490000012,-3.352055149234366,182.92856368,-3670.07143632,-95.25230823566052,191.51034769
100.0,250.0,50.0,2.0,3790.5323971,3922.0,-131.4676029000002,-3.352055147883738,3723.8453151,3853.0,-129.15468490000012,-3.352055149234366,182.92856368,-3670.07143632,-95.25230823566052,191.51034769
100.0,250.0,50.0,2.281,2841.7608783,2828.0,13.760878300000059,0.48659399929278846,2794.5321791,2781.0,13.532179100000121,0.48659399856167285,145.21050712,-2635.78949288,-94.77847870837829,150.54836755
50.0,250.0,50.0,2.281,2841.7608783,2828.0,13.760878300000059,0.48659399929278846,2794.5321791,2781.0,13.532179100000121,0.48659399856167285,145.21050712,-2635.78949288,-94.77847870837829,150.54836755
50.0,250.0,50.0,2.4235,2850.7214974,2833.0,17.721497399999862,0.6255382068478595,2803.4274944,2786.0,17.427494399999887,0.6255382053122716,163.56122343,-2622.43877657,-94.12917360265614,170.37622426
100.0,250.0,50.0,2.4235,2850.7214974,2833.0,17.721497399999862,0.6255382068478595,2803.4274944,2786.0,17.427494399999887,0.6255382053122716,163.56122343,-2622.43877657,-94.12917360265614,170.37622426
100.0,250.0,50.0,2.5749,2453.8662272,2445.0,8.86622720000014,0.36262687934560894,2415.728429,2407.0,8.728428999999778,0.362626879933518,143.86297881,-2263.13702119,-94.02314171956792,149.09981888
50.0,250.0,50.0,2.5749,2453.8662272,2445.0,8.86622720000014,0.36262687934560894,2415.728429,2407.0,8.728428999999778,0.362626879933518,143.86297881,-2263.13702119,-94.02314171956792,149.09981888
50.0,250.0,50.0,2.69447,2342.086046,2339.0,3.0860459999998966,0.1319386917486061,2304.0359093,2301.0,3.035909300000185,0.13193869187310667,140.5965744,-2160.4034256,-93.88976208604954,145.59273716
100.0,250.0,50.0,2.69447,2342.086046,2339.0,3.0860459999998966,0.1319386917486061,2304.0359093,2301.0,3.035909300000185,0.13193869187310667,140.5965744,-2160.4034256,-93.88976208604954,145.59273716
100.0,250.0,50.0,2.8196,2114.5066378,2104.0,10.506637800000135,0.4993649144486756,2081.3418474,2071.0,10.341847400000006,0.49936491549975887,128.06681674,-1942.93318326,-93.81618460936745,132.19453053
50.0,250.0,50.0,2.8196,2114.5066378,2104.0,10.506637800000135,0.4993649144486756,2081.3418474,2071.0,10.341847400000006,0.49936491549975887,128.06681674,-1942.93318326,-93.81618460936745,132.19453053
