world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,5000.0,50.0,1.0,2147.4886878,3683.0,-1535.5113121999998,-41.69186294325278,2140.4917113,3671.0,-1530.5082886999999,-41.69186294470171,8.7675437305,-3662.2324562695,-99.76116742766276,9.1607850735
100.0,5000.0,50.0,1.0,2147.4886878,3683.0,-1535.5113121999998,-41.69186294325278,2140.4917113,3671.0,-1530.5082886999999,-41.69186294470171,8.7675437305,-3662.2324562695,-99.76116742766276,9.1607850735
100.0,5000.0,50.0,1.0,2147.4886878,3683.0,-1535.5113121999998,-41.69186294325278,2140.4917113,3671.0,-1530.5082886999999,-41.69186294470171,8.7675437305,-3662.2324562695,-99.76116742766276,9.1607850735
50.0,5000.0,50.0,1.0,2147.4886878,3683.0,-1535.5113121999998,-41.69186294325278,2140.4917113,3671.0,-1530.5082886999999,-41.69186294470171,8.7675437305,-3662.2324562695,-99.76116742766276,9.1607850735
50.0,5000.0,50.0,1.5,2147.4886878,1643.0,504.4886878000002,30.705337054169213,2133.1111007,1632.0,501.11110069999995,30.705337052696073,6.7715284111,-1625.2284715889,-99.58507791598652,7.0029086351
100.0,5000.0,50.0,1.5,2147.4886878,1643.0,504.4886878000002,30.705337054169213,2133.1111007,1632.0,501.11110069999995,30.705337052696073,6.7715284111,-1625.2284715889,-99.58507791598652,7.0029086351
100.0,5000.0,50.0,1.8092,1098.0968635,1108.0000001,-9.903136600000153,-0.8937848916160981,1087.1951799,1097.0000001,-9.804820199999995,-0.8937848859713956,5.9599427222,-1091.0400573778002,-99.45670531251992,6.1381997328
50.0,5000.0,50.0,1.8092,1098.0968635,1108.0000001,-9.903136600000153,-0.8937848916160981,1087.1951799,1097.0000001,-9.804820199999995,-0.8937848859713956,5.9599427222,-1091.0400573778002,-99.45670531251992,6.1381997328
50.0,5000.0,50.0,1.84014,2147.4886878,1911.0000003,236.4886875000002,12.375127549077698,2116.023652,1883.0000002,233.02365179999993,12.375127550464667,8.0655054546,-1874.9344947454,-99.57166726214852,8.3966837153
100.0,5000.0,50.0,1.84014,2147.4886878,1911.0000003,236.4886875000002,12.375127549077698,2116.023652,1883.0000002,233.02365179999993,12.375127550464667,8.0655054546,-1874.9344947454,-99.57166726214852,8.3966837153
