run_id,world_half_cm,thickness_nm,backing_thickness_um,density_g_cm3,E_keV,N_injected,N_uncollided,N_trans_total,T_counts,mu_counts_per_mm,mu_counts_cm2_g,mu_calc_per_mm,mu_calc_cm2_g,mu_tr_per_mm,mu_tr_cm2_g,mu_ref_cm2_g,mu_en_ref_cm2_g,delta_mu_percent,delta_mu_en_percent,sigma_T_counts,sigma_mu_counts_cm2_g,mu_en_cpe_per_mm,mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,absorbed_fraction,mu_en_per_mm,mu_en_cm2_g,mu_en_raw_per_mm,mu_en_raw_cm2_g,mu_eff_per_mm,mu_eff_cm2_g,E_trans_unc_keV,E_trans_tot_keV,E_abs_keV,T_energy_tot
0,1.0000000000e+02,2.0000000000e+02,0.0000000000e+00,1.9300000000e+01,6.0000000000e+01,2.0000000000e+05,1.9970900000e+05,1.9970900000e+05,9.9854500000e-01,7.2802977019e+00,3.7721749751e+00,7.0283824513e+00,3.6416489385e+00,6.1721593481e+00,3.1980100249e+00,3.7130000000e+00,3.0700000000e+00,1.5937240793e+00,-9.6033682132e+01,8.5231536857e-05,2.2112883275e-01,6.0195297454e+00,3.1189273292e+00,1.5937240793e+00,4.7001660000e-05,6.0195297454e+00,3.1189273292e+00,2.3500830000e-01,1.2176595855e-01,2.3501382306e-01,1.2176882024e-01,1.1982540000e+07,1.1982540000e+07,5.6401992000e+02,9.9854500000e-01
1,1.0000000000e+02,3.0000000000e+02,0.0000000000e+00,1.9300000000e+01,8.0000000000e+01,2.0000000000e+05,1.9910800000e+05,1.9910800000e+05,9.9554000000e-01,1.4899918238e+01,7.7201648902e+00,1.5104797765e+01,7.8263200854e+00,1.4451440180e+01,7.4877928394e+00,7.8100000000e+00,2.8790000000e+00,-1.1502574868e+00,-9.6677947547e+01,1.4899846308e-04,2.5849045478e-01,5.4925562878e+00,2.8458840869e+00,-1.1502574868e+00,5.5376654375e-05,5.4925562878e+00,2.8458840869e+00,1.8458884792e-01,9.5641890112e-02,1.8459395906e-01,9.5644538374e-02,1.5928640000e+07,1.5928640000e+07,8.8602647000e+02,9.9554000000e-01
2,1.0000000000e+02,2.5000000000e+05,0.0000000000e+00,1.9300000000e+01,5.0000000000e+02,2.0000000000e+05,1.8692500000e+05,1.8692500000e+05,9.3462500000e-01,2.7043959865e-01,1.4012414438e-01,2.6555034714e-01,1.3759085344e-01,1.6051475126e-01,8.3168264902e-02,1.3780000000e-01,7.4400000000e-02,1.6866069502e+00,-9.9257083069e+01,5.5272556199e-04,1.2256736190e-03,1.4601383265e-01,7.5654835571e-02,1.6866069502e+00,2.6669231990e-04,1.4601383265e-01,7.5654835571e-02,1.0667692796e-03,5.5273019668e-04,1.0669115545e-03,5.5280391424e-04,9.3462500000e+07,9.3462500000e+07,2.6669231990e+04,9.3462500000e-01
3,1.0000000000e+02,7.5000000000e+05,0.0000000000e+00,1.9300000000e+01,1.0000000000e+03,2.0000000000e+05,1.8175700000e+05,1.8175700000e+05,9.0878500000e-01,1.2752898191e-01,6.6077192700e-02,1.2721952737e-01,6.5916853562e-02,6.7860004790e-02,3.5160624243e-02,6.6180000000e-02,3.2760000000e-02,-1.5534496837e-01,-9.9538909461e+01,6.4379664404e-04,4.8940565802e-04,6.3128580348e-02,3.2709108988e-02,-1.5534496837e-01,2.1864959460e-04,6.3128580348e-02,3.2709108988e-02,2.9153279280e-04,1.5105326052e-04,2.9156466921e-04,1.5106977679e-04,1.8175700000e+08,1.8175700000e+08,4.3729918920e+04,9.0878500000e-01
4,1.0000000000e+02,2.0000000000e+02,5.0000000000e+01,1.9300000000e+01,6.0000000000e+01,2.0000000000e+05,1.9971500000e+05,1.9973200000e+05,9.9857500000e-01,7.1300813904e+00,3.6943426893e+00,7.0283824513e+00,3.6416489385e+00,6.1721593481e+00,3.1980100249e+00,3.7130000000e+00,3.0700000000e+00,-5.0248614828e-01,-9.5837391844e+01,8.4349551718e-05,2.1883399315e-01,5.8953271932e+00,3.0545736753e+00,-5.0248614828e-01,4.9327739167e-05,5.8953271932e+00,3.0545736753e+00,2.4663869583e-01,1.2779207038e-01,2.4664477910e-01,1.2779522233e-01,1.1982900000e+07,1.1983908878e+07,5.9193287000e+02,9.9865907321e-01
5,1.0000000000e+02,3.0000000000e+02,5.0000000000e+01,1.9300000000e+01,8.0000000000e+01,2.0000000000e+05,1.9905200000e+05,1.9922700000e+05,9.9526000000e-01,1.5837564752e+01,8.2059920993e+00,1.5104797765e+01,7.8263200854e+00,1.4451440180e+01,7.4877928394e+00,7.8100000000e+00,2.8790000000e+00,5.0703213742e+00,-9.6423152987e+01,1.5358275294e-04,2.6651848404e-01,5.8382008860e+00,3.0249745524e+00,5.0703213742e+00,5.9623929375e-05,5.8382008860e+00,3.0249745524e+00,1.9874643125e-01,1.0297742552e-01,1.9875235651e-01,1.0298049560e-01,1.5924160000e+07,1.5935335080e+07,9.5398287000e+02,9.9595844252e-01
6,1.0000000000e+02,2.5000000000e+05,5.0000000000e+01,1.9300000000e+01,5.0000000000e+02,2.0000000000e+05,1.8719300000e+05,1.9210200000e+05,9.3596500000e-01,2.6470878546e-01,1.3715481112e-01,2.6555034714e-01,1.3759085344e-01,1.6051475126e-01,8.3168264902e-02,1.3780000000e-01,7.4400000000e-02,-4.6820673338e-01,-9.9220912740e+01,5.4742359638e-04,1.2121785285e-03,1.4291969259e-01,7.4051654190e-02,-4.6820673338e-01,2.7967674460e-04,1.4291969259e-01,7.4051654190e-02,1.1187069784e-03,5.7964092145e-04,1.1188634457e-03,5.7972199261e-04,9.3596500000e+07,9.5437589356e+07,2.7967674460e+04,9.5437589356e-01
7,1.0000000000e+02,7.5000000000e+05,5.0000000000e+01,1.9300000000e+01,1.0000000000e+03,2.0000000000e+05,1.8178100000e+05,1.9173300000e+05,9.0890500000e-01,1.2735293429e-01,6.5985976316e-02,1.2721952737e-01,6.5916853562e-02,6.7860004790e-02,3.5160624243e-02,6.6180000000e-02,3.2760000000e-02,-2.9317570879e-01,-9.9532411087e+01,6.4341549941e-04,4.8905134043e-04,6.3041434381e-02,3.2663955638e-02,-2.9317570879e-01,2.2173112990e-04,6.3041434381e-02,3.2663955638e-02,2.9564150653e-04,1.5318212774e-04,2.9567428784e-04,1.5319911287e-04,1.8178100000e+08,1.8858272453e+08,4.4346225980e+04,9.4291362264e-01
