run_id,world_half_cm,thickness_nm,backing_thickness_um,density_g_cm3,E_keV,N_injected,N_uncollided,N_trans_total,T_counts,mu_counts_per_mm,mu_counts_cm2_g,mu_calc_per_mm,mu_calc_cm2_g,mu_tr_per_mm,mu_tr_cm2_g,mu_ref_cm2_g,mu_en_ref_cm2_g,delta_mu_percent,delta_mu_en_percent,sigma_T_counts,sigma_mu_counts_cm2_g,mu_en_cpe_per_mm,mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,absorbed_fraction,mu_en_per_mm,mu_en_cm2_g,mu_en_raw_per_mm,mu_en_raw_cm2_g,mu_eff_per_mm,mu_eff_cm2_g,E_trans_unc_keV,E_trans_tot_keV,E_abs_keV,T_energy_tot,score_mu,score_muen,score
75,50.0,150.0,50.0,19.3,25.5,200000.0,197904.0,197906.0,0.98952,70.235346103,36.391371038,67.299410957,34.870161118,64.17860245,33.253161891,42.08,36.587,-13.518604949,-92.474802329,0.00022770781278,0.79488588866,61.067029654,31.640948007,-13.518604949,0.00079706415882,61.067029654,31.640948007,5.3137610588,2.7532440719,5.315879889,2.7543419114,5046552.0,5046603.0,4065.02721,0.98953,13.518604949,13.518604949,13.518604949
274,50.0,1500.0,50.0,19.3,30.0,200000.0,187257.0,187303.0,0.936285,43.890241115,22.741057572,43.875966609,22.733661455,41.375390495,21.438026163,22.73,19.91,0.048647480127,-92.410273311,0.00054614741039,0.20148988313,38.444993427,19.919685713,0.048647480127,0.00437467672,38.444993427,19.919685713,2.9164511467,1.5111145838,2.9228490782,1.5144295742,5617710.0,5619090.0,26248.06032,0.936515,0.048647480127,0.048647480127,0.048647480127
209,50.0,500.0,0.0,19.3,32.4,200000.0,196366.0,196366.0,0.98183,36.674203407,19.002177931,35.805271581,18.551954187,33.562074496,17.389675905,19.8356,17.3492,-4.2016478894,-92.907170772,0.00029866244407,0.31522235081,32.077078069,16.620247704,-4.2016478894,0.0011874799089,32.077078069,16.620247704,2.3749598179,1.2305491284,2.3763710437,1.2312803335,6362258.4,6362258.4,7694.86981,0.98183,4.2016478894,4.2016478894,4.2016478894
408,50.0,2000.0,0.0,19.3,39.8,200000.0,191763.0,191763.0,0.958815,21.028565994,10.895630049,20.80223513,10.778360171,19.143222562,9.918768167,10.9112,9.4534000002,-0.14269696635,-93.47933256,0.00044434668771,0.1200604102,18.21902685,9.4399102852,-0.14269696635,0.0023793996344,18.21902685,9.4399102852,1.1896998172,0.61642477576,1.1911174521,0.61715930159,7632167.4,7632167.4,18940.02109,0.958815,0.14269696635,0.14269696635,0.14269696635
475,50.0,5000.0,50.0,19.3,40.0,200000.0,180432.0,180781.0,0.90216,20.592678212,10.669781457,20.527789298,10.636160258,18.881281827,9.7830475789,10.67,9.24,-0.0020482028299,-93.553088889,0.00066433174845,0.076308712682,17.83283474,9.2398107461,-0.0020482028299,0.0057484527613,17.83283474,9.2398107461,1.1496905523,0.59569458666,1.1530077417,0.59741333769,7217280.0,7231231.6013,45987.62209,0.90390395017,0.0020482028299,0.0020482028299,0.0020482028299
278,50.0,1000.0,50.0,19.3,41.4,200000.0,196207.0,196287.0,0.981035,19.147142173,9.9207990536,18.737005177,9.708292838,17.17542358,8.8991832023,10.00906,8.6534,-0.88181054312,-93.500751043,0.00030500269487,0.16108750899,16.553790274,8.5770934064,-0.88181054312,0.0010854435978,16.553790274,8.5770934064,1.0854435978,0.56240600924,1.0860331184,0.56271146029,8122969.8,8126280.4538,8987.47299,0.98143483742,0.88181054312,0.88181054312,0.88181054312
411,50.0,2000.0,50.0,19.3,50.0,200000.0,195459.0,195653.0,0.977295,11.483363893,5.9499294784,11.376674087,5.8946497862,10.214979915,5.2927357071,5.949,5.05,0.01562411186,-94.544234638,0.00033308769847,0.088296931698,9.7480228041,5.0507890177,0.01562411186,0.001063492342,9.7480228041,5.0507890177,0.531746171,0.27551615078,0.53202912562,0.27566275939,9772950.0,9782634.1836,10634.92342,0.97826341837,0.01562411186,0.01562411186,0.01562411186
412,50.0,2000.0,50.0,19.3,52.8,200000.0,196039.0,196238.0,0.980195,10.00187376,5.1823180102,9.8552117048,5.1063273082,8.7891865366,4.5539826614,5.32292,4.4956,-2.6414447289,-94.741515093,0.00031155065379,0.082343415961,8.4473228368,4.3768512108,-2.6414447289,0.00091250572727,8.4473228368,4.3768512108,0.45625286364,0.23640044748,0.45646115703,0.23650837152,10350859.2,10361354.762,9636.06048,0.98118889794,2.6414447289,2.6414447289,2.6414447289
413,50.0,2000.0,50.0,19.3,60.0,200000.0,197144.0,197330.0,0.98572,7.1914701837,3.7261503543,7.0283824513,3.6416489385,6.1721593481,3.1980100249,3.713,3.07,0.35417059664,-94.502999985,0.0002652930606,0.069724437137,5.946084962,3.0808730373,0.35417059664,0.00065140549583,5.946084962,3.0808730373,0.32570274792,0.16875790048,0.32580887629,0.16881288927,11828640.0,11839762.03,7816.86595,0.98664683581,0.35417059664,0.35417059664,0.35417059664
480,50.0,5000.0,0.0,19.3,63.1,200000.0,193872.0,193872.0,0.96936,6.2238438118,3.2247895398,6.1485383923,3.1857711877,5.3683965092,2.7815525954,3.3351417323,2.7377060368,-3.3087707024,-95.165170595,0.00038536469999,0.041196424241,5.1089447295,2.6471216215,-3.3087707024,0.0012773069691,5.1089447295,2.6471216215,0.25546139382,0.13236341649,0.25562468419,0.1324480229,12233323.2,12233323.2,16119.61395,0.96936,3.3087707024,3.3087707024,3.3087707024
415,50.0,2000.0,50.0,19.3,65.0,200000.0,197666.0,197831.0,0.98833,5.8693144527,3.0410955713,5.6658371387,2.9356669112,4.9458506987,2.5626169423,3.1035511811,2.5340419947,-2.0123918087,-95.135217869,0.00024014382253,0.062948029025,4.7922809825,2.4830471412,-2.0123918087,0.00047584390154,4.7922809825,2.4830471412,0.23792195077,0.12327562216,0.23797857559,0.12330496144,12848290.0,12858970.028,6185.97072,0.98915154059,2.0123918087,2.0123918087,2.0123918087
482,50.0,5000.0,0.0,19.3,67.2,200000.0,194797.0,194797.0,0.973985,5.2718751738,2.7315415408,5.1689759027,2.6782258563,4.5124954464,2.3380805422,2.8353937008,2.2982204724,-3.6627068739,-95.412113071,0.00035593693104,0.037869839952,4.2731037489,2.2140433932,-3.6627068739,0.0010174936518,4.2731037489,2.2140433932,0.20349873036,0.10543975666,0.20360232997,0.10549343522,13090358.4,13090358.4,13675.11468,0.973985,3.6627068739,3.6627068739,3.6627068739
417,50.0,2000.0,0.0,19.3,68.0,200000.0,197886.0,197886.0,0.98943,5.3131296207,2.7529169019,4.9984736166,2.5898827029,4.3672029303,2.2627994458,2.7378818898,2.2124671916,0.54914757868,-95.351541661,0.00022867307559,0.059874603992,4.2935106202,2.2246169016,0.54914757868,0.00039698407647,4.2935106202,2.2246169016,0.19849203824,0.10284561567,0.19853144776,0.10286603511,13456248.0,13456248.0,5398.98344,0.98943,0.54914757868,0.54914757868,0.54914757868
484,50.0,5000.0,0.0,19.3,69.0,200000.0,195185.0,195185.0,0.975925,4.8739079568,2.5253409103,4.7698472494,2.4714234453,4.1927869207,2.1724284563,2.615992126,2.1052755906,-3.4652709706,-95.649641729,0.0003427491384,0.036394236678,3.9223816273,2.0323220867,-3.4652709706,0.0008838148471,3.9223816273,2.0323220867,0.17676296942,0.091587030788,0.17684112834,0.09162752764,13467765.0,13467765.0,12196.64489,0.975925,3.4652709706,3.4652709706,3.4652709706
428,50.0,10000.0,50.0,19.3,69.525,200000.0,190500.0,191264.0,0.9525,4.8665171981,2.5215115016,4.6806904708,2.4252282232,4.1058822995,2.1274001552,2.5520000001,2.049,-1.1946903809,-95.41510657,0.00047562458936,0.025872715072,3.9073251326,2.0245207941,-1.1946903809,0.0018131282014,3.9073251326,2.0245207941,0.18131282014,0.093944466392,0.18147739078,0.094029736158,13244512.5,13297273.57,25211.54764,0.95629439554,1.1946903809,1.1946903809,1.1946903809
485,50.0,5000.0,0.0,19.3,70.0,200000.0,180309.0,180309.0,0.901545,20.729064156,10.740447749,20.967598769,10.864040813,20.37081798,10.554827969,2.7904295942,2.0866372315,284.90301893,-91.596917493,0.00066618921102,0.07657427128,15.500852317,8.0315296981,284.90301893,0.001692048835,15.500852317,8.0315296981,0.338409767,0.17534184819,0.3386963933,0.17549035922,12621630.0,12621630.0,23688.68369,0.901545,284.90301893,284.90301893,284.90301893
420,50.0,2000.0,50.0,19.3,72.0,200000.0,192446.0,193703.0,0.96223,19.250885827,9.9745522419,19.630992434,10.171498671,18.973112566,9.8306282724,3.7943436755,2.2451097852,162.87951475,-93.111724083,0.00042628292893,0.11477088841,11.390732058,5.9019337089,162.87951475,0.00059694651667,11.390732058,5.9019337089,0.29847325833,0.15464935665,0.29856238009,0.15469553372,13856112.0,13933671.735,8596.02984,0.96761609269,162.87951475,162.87951475,162.87951475
289,50.0,1000.0,0.0,19.3,75.0,200000.0,196552.0,196552.0,0.98276,17.390339204,9.0105384477,17.727241076,9.185099003,17.064974527,8.8419557135,5.3002147973,2.4828186158,70.003269535,-94.997589397,0.00029105654433,0.15345201235,8.1462845492,4.2208728234,70.003269535,0.00023970750867,8.1462845492,4.2208728234,0.23970750867,0.12420078169,0.2397362431,0.12421567,14741400.0,14741400.0,3595.61263,0.98276,70.003269535,70.003269535,70.003269535
429,50.0,10000.0,50.0,19.3,80.0,200000.0,171997.0,176780.0,0.859985,15.084033175,7.8155612304,15.104797765,7.8263200854,14.45144018,7.4877928394,7.81,2.879,0.071206535934,-95.909313734,0.00077592138705,0.046748699891,5.5604265698,2.8810500362,0.071206535934,0.0022729775519,5.5604265698,2.8810500362,0.22729775519,0.11777085761,0.22755646864,0.11790490603,13759760.0,14059094.46,36367.64083,0.87869340378,0.071206535934,0.071206535934,0.071206535934
423,50.0,2000.0,0.0,19.3,85.7,200000.0,194866.0,194866.0,0.97433,13.002611844,6.7371045823,12.672373918,6.5659968486,12.055110647,6.2461713196,6.84898,2.656985,-1.6334610086,-96.857993937,0.00035363152504,0.094028085684,5.044217479,2.613584186,-1.6334610086,0.00032224295099,5.044217479,2.613584186,0.1611214755,0.083482629791,0.1611474412,0.083496083526,16700016.2,16700016.2,5523.24418,0.97433,1.6334610086,1.6334610086,1.6334610086
490,50.0,5000.0,50.0,19.3,100.0,200000.0,191618.0,193100.0,0.95809,8.5627119407,4.4366383113,8.5705998776,4.4407253252,8.0453884161,4.1685950342,4.438,2.1,-0.030682486479,-97.588960706,0.00044807115451,0.048463342682,4.0517564388,2.0993556678,-0.030682486479,0.000488597113,4.0517564388,2.0993556678,0.0977194226,0.050631825181,0.097743303093,0.050644198494,19161800.0,19261381.616,9771.94226,0.96306908082,0.030682486479,0.030682486479,0.030682486479
425,50.0,2000.0,50.0,19.3,109.2,200000.0,197253.0,197778.0,0.986265,6.9150989061,3.5829528011,6.8378461187,3.5429254501,6.3625396651,3.2966526762,3.912312,1.8861552,-8.4185310094,-98.194715411,0.00026025323989,0.068362072205,3.3338214744,1.7273686396,-8.4185310094,0.0001314348109,3.3338214744,1.7273686396,0.065717405449,0.034050469144,0.065721724605,0.034052707049,21540027.6,21577192.976,2870.53627,0.98796671133,8.4185310094,8.4185310094,8.4185310094
492,50.0,5000.0,50.0,19.3,139.2,200000.0,196307.0,197090.0,0.981535,3.7275212394,1.9313581551,3.687274587,1.9105049674,3.3280584516,1.7243826174,2.198112,1.1888352,-12.135589309,-98.698393299,0.00030103192335,0.031781870197,2.0160066721,1.0445630426,-12.135589309,0.00014932370079,2.0160066721,1.0445630426,0.029864740158,0.015473958631,0.029866970137,0.01547511406,27325934.4,27388024.259,4157.17183,0.98376523919,12.135589309,12.135589309,12.135589309
493,50.0,5000.0,50.0,19.3,150.0,200000.0,196975.0,197663.0,0.984875,3.0481098833,1.5793315457,3.0573088142,1.5840978312,2.7269739263,1.4129398582,1.581,0.9378,-0.10553157892,-98.686962269,0.00027291238864,0.028715396922,1.808043927,0.93681032485,-0.10553157892,0.00011882689467,1.808043927,0.93681032485,0.023765378933,0.012313667841,0.023766791028,0.012314399496,29546250.0,29605618.432,3564.80684,0.98685394772,0.10553157892,0.10553157892,0.10553157892
494,50.0,5000.0,0.0,19.3,158.0,200000.0,197320.0,197320.0,0.9866,2.6981180365,1.3979886199,2.6861600884,1.3917927919,2.3740008444,1.230052251,1.453544,0.86636,-3.8220638699,-98.920865827,0.00025710348111,0.02700471091,1.6081670332,0.83324716746,-3.8220638699,9.0219652848e-05,1.6081670332,0.83324716746,0.01804393057,0.0093491868237,0.018044744577,0.0093496085892,31176560.0,31176560.0,2850.94103,0.9866,3.8220638699,3.8220638699,3.8220638699
