world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,150.0,50.0,1.0,3662.5902967,3683.0,-20.40970329999982,-0.5541597420580999,3650.6567958,3671.0,-20.343204199999946,-0.5541597439389797,191.47941019,-3479.52058981,-94.78399863279759,196.9912393
100.0,150.0,50.0,1.0,3662.5902967,3683.0,-20.40970329999982,-0.5541597420580999,3650.6567958,3671.0,-20.343204199999946,-0.5541597439389797,191.47941019,-3479.52058981,-94.78399863279759,196.9912393
100.0,150.0,50.0,10.0,95.345309546,96.91,-1.5646904540000008,-1.614581007120009,90.553939641,92.04,-1.4860603590000068,-1.6145810071708024,3.5093415026,-88.53065849740001,-96.18715612494569,3.5111253763
50.0,150.0,50.0,10.0,95.345309546,96.91,-1.5646904540000008,-1.614581007120009,90.553939641,92.04,-1.4860603590000068,-1.6145810071708024,3.5093415026,-88.53065849740001,-96.18715612494569,3.5111253763
100.0,150.0,50.0,20.0,66.948586991,65.73,1.2185869909999951,1.853928177392355,58.026182883,56.97,1.0561828829999982,1.8539281779884116,5.9176982902,-51.0523017098,-89.61260612568019,5.9227731094
50.0,150.0,50.0,20.0,66.948586991,65.73,1.2185869909999951,1.853928177392355,58.026182883,56.97,1.0561828829999982,1.8539281779884116,5.9176982902,-51.0523017098,-89.61260612568019,5.9227731094
50.0,150.0,50.0,30.0,22.108598207,22.73,-0.6214017930000004,-2.7338398284205914,19.36569249,19.91,-0.5443075099999994,-2.733839829231539,1.4561371215,-18.4538628785,-92.68640320693119,1.4564441263
100.0,150.0,50.0,30.0,22.108598207,22.73,-0.6214017930000004,-2.7338398284205914,19.36569249,19.91,-0.5443075099999994,-2.733839829231539,1.4561371215,-18.4538628785,-92.68640320693119,1.4564441263
100.0,150.0,50.0,40.0,11.192552418,10.67,0.5225524180000001,4.897398481724462,9.6925196195,9.24,0.4525196195000003,4.897398479437232,0.66216374784,-8.577836252160001,-92.83372567272728,0.66222722316
50.0,150.0,50.0,40.0,11.192552418,10.67,0.5225524180000001,4.897398481724462,9.6925196195,9.24,0.4525196195000003,4.897398479437232,0.66216374784,-8.577836252160001,-92.83372567272728,0.66222722316
100.0,150.0,50.0,50.0,6.3443373919,5.949,0.39533739190000006,6.645442795427805,5.3855948612,5.05,0.3355948612000006,6.6454427960396165,0.26135662867,-4.78864337133,-94.82462121445545,0.26136651665
50.0,150.0,50.0,50.0,6.3443373919,5.949,0.39533739190000006,6.645442795427805,5.3855948612,5.05,0.3355948612000006,6.6454427960396165,0.26135662867,-4.78864337133,-94.82462121445545,0.26136651665
100.0,150.0,50.0,60.0,3.9746520117,3.713,0.26165201169999985,7.046916555346078,3.2863403383,3.07,0.2163403383000002,7.046916557003264,0.20358074842,-2.86641925158,-93.36870526319218,0.20358674783
50.0,150.0,50.0,60.0,3.9746520117,3.713,0.26165201169999985,7.046916555346078,3.2863403383,3.07,0.2163403383000002,7.046916557003264,0.20358074842,-2.86641925158,-93.36870526319218,0.20358674783
50.0,150.0,50.0,80.0,7.8500184998,7.81,0.040018499800000384,0.5124007656850241,2.893752018,2.879,0.014752017999999811,0.5124007641542137,0.087361183074,-2.791638816926,-96.9655719668635,0.087362287822
100.0,150.0,50.0,80.0,7.8500184998,7.81,0.040018499800000384,0.5124007656850241,2.893752018,2.879,0.014752017999999811,0.5124007641542137,0.087361183074,-2.791638816926,-96.9655719668635,0.087362287822
50.0,150.0,50.0,100.0,3.7325859076,4.438,-0.7054140923999999,-15.894864632717438,1.7662078427,2.1,-0.3337921573,-15.894864633333333,0.05272433506,-2.04727566494,-97.48931737809524,0.052724737449
100.0,150.0,50.0,100.0,3.7325859076,4.438,-0.7054140923999999,-15.894864632717438,1.7662078427,2.1,-0.3337921573,-15.894864633333333,0.05272433506,-2.04727566494,-97.48931737809524,0.052724737449
100.0,150.0,50.0,150.0,1.7966675195,1.581,0.21566751949999996,13.641209329538265,1.0657272611,0.9378,0.12792726109999997,13.64120933034762,0.010580616005,-0.9272193839949999,-98.87176199562806,0.010580632209
50.0,150.0,50.0,150.0,1.7966675195,1.581,0.21566751949999996,13.641209329538265,1.0657272611,0.9378,0.12792726109999997,13.64120933034762,0.010580616005,-0.9272193839949999,-98.87176199562806,0.010580632209
100.0,150.0,50.0,200.0,0.56999521243,0.7844,-0.21440478757000003,-27.333603718765943,0.35701000493,0.4913,-0.13428999507,-27.333603718705472,0.0033098782383,-0.48799012176170004,-99.32630200726645,0.0033098798241
50.0,150.0,50.0,200.0,0.56999521243,0.7844,-0.21440478757000003,-27.333603718765943,0.35701000493,0.4913,-0.13428999507,-27.333603718705472,0.0033098782383,-0.48799012176170004,-99.32630200726645,0.0033098798241
100.0,150.0,50.0,300.0,0.3627133433,0.3238,0.038913343300000014,12.017709481161216,0.22101094081,0.1973,0.023710940809999997,12.017709483020779,0.0010956085204,-0.1962043914796,-99.44469917871263,0.0010956086942
50.0,150.0,50.0,300.0,0.3627133433,0.3238,0.038913343300000014,12.017709481161216,0.22101094081,0.1973,0.023710940809999997,12.017709483020779,0.0010956085204,-0.1962043914796,-99.44469917871263,0.0010956086942
