world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,500.0,50.0,1.0,3686.7106409,3683.0,3.7106408999998166,0.10075049959271834,3674.6985509,3671.0,3.6985509000001002,0.10075050122582677,85.294530259,-3585.705469741,-97.67653145576138,89.010142918
100.0,500.0,50.0,1.0,3686.7106409,3683.0,3.7106408999998166,0.10075049959271834,3674.6985509,3671.0,3.6985509000001002,0.10075050122582677,85.294530259,-3585.705469741,-97.67653145576138,89.010142918
100.0,500.0,50.0,10.0,96.001806477,96.91,-0.9081935229999942,-0.9371515044886949,91.177445755,92.04,-0.8625542450000125,-0.9371515047805437,3.5102710829,-88.5297289171,-96.18614615069534,3.5162299099
50.0,500.0,50.0,10.0,96.001806477,96.91,-0.9081935229999942,-0.9371515044886949,91.177445755,92.04,-0.8625542450000125,-0.9371515047805437,3.5102710829,-88.5297289171,-96.18614615069534,3.5162299099
100.0,500.0,50.0,20.0,65.178447847,65.73,-0.5515521530000029,-0.8391178350829193,56.491954569,56.97,-0.4780454309999982,-0.8391178357029985,5.5471898135,-51.4228101865,-90.26296329032824,5.5620901715
50.0,500.0,50.0,20.0,65.178447847,65.73,-0.5515521530000029,-0.8391178350829193,56.491954569,56.97,-0.4780454309999982,-0.8391178357029985,5.5471898135,-51.4228101865,-90.26296329032824,5.5620901715
50.0,500.0,50.0,30.0,22.845846963,22.73,0.11584696299999919,0.5096654773427153,20.011474396,19.91,0.10147439600000041,0.5096654746358634,1.5818154249,-18.3281845751,-92.05517114565545,1.5830239374
100.0,500.0,50.0,30.0,22.845846963,22.73,0.11584696299999919,0.5096654773427153,20.011474396,19.91,0.10147439600000041,0.5096654746358634,1.5818154249,-18.3281845751,-92.05517114565545,1.5830239374
100.0,500.0,50.0,40.0,10.723689177,10.67,0.053689177000000754,0.5031787910028187,9.2864937207,9.24,0.04649372069999913,0.503178795454536,0.59304132124,-8.64695867876,-93.58180388268399,0.5932110803
50.0,500.0,50.0,40.0,10.723689177,10.67,0.053689177000000754,0.5031787910028187,9.2864937207,9.24,0.04649372069999913,0.503178795454536,0.59304132124,-8.64695867876,-93.58180388268399,0.5932110803
100.0,500.0,50.0,50.0,6.0539186359,5.949,0.10491863589999983,1.7636348277021323,5.1390635588,5.05,0.08906355880000039,1.76363482772278,0.29889495233,-4.751105047669999,-94.08128807267326,0.2989380663
50.0,500.0,50.0,50.0,6.0539186359,5.949,0.10491863589999983,1.7636348277021323,5.1390635588,5.05,0.08906355880000039,1.76363482772278,0.29889495233,-4.751105047669999,-94.08128807267326,0.2989380663
100.0,500.0,50.0,60.0,3.7061011991,3.713,-0.006898800900000168,-0.18580126312954937,3.0642959012,3.07,-0.0057040987999998904,-0.18580126384364465,0.14301030743,-2.92698969257,-95.3416837970684,0.1430201764
