world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,2000.0,50.0,1.0,5368.7217194,3683.0,1685.7217194000004,45.77034263915288,5351.2292783,3671.0,1680.2292783000003,45.77034263960774,21.918859326,-3649.081140674,-99.40291856916372,22.901962684
100.0,2000.0,50.0,1.0,5368.7217194,3683.0,1685.7217194000004,45.77034263915288,5351.2292783,3671.0,1680.2292783000003,45.77034263960774,21.918859326,-3649.081140674,-99.40291856916372,22.901962684
100.0,2000.0,50.0,10.0,95.143034734,96.91,-1.7669652659999997,-1.8233054029511915,90.361829707,92.04,-1.678170293000008,-1.8233054030856237,2.9952733238,-89.0447266762,-96.74568304671881,3.0127232637
50.0,2000.0,50.0,10.0,95.143034734,96.91,-1.7669652659999997,-1.8233054029511915,90.361829707,92.04,-1.678170293000008,-1.8233054030856237,2.9952733238,-89.0447266762,-96.74568304671881,3.0127232637
100.0,2000.0,50.0,20.0,66.142925498,65.73,0.4129254979999928,0.6282146630153549,57.327893893,56.97,0.3578938930000035,0.6282146621028674,5.1626352021,-51.8073647979,-90.93797577303845,5.2147688783
50.0,2000.0,50.0,20.0,66.142925498,65.73,0.4129254979999928,0.6282146630153549,57.327893893,56.97,0.3578938930000035,0.6282146621028674,5.1626352021,-51.8073647979,-90.93797577303845,5.2147688783
50.0,2000.0,50.0,30.0,22.840613773,22.73,0.11061377300000075,0.486642204135507,20.006890463,19.91,0.09689046300000115,0.48664220492215543,1.4968727897,-18.4131272103,-92.4818041702662,1.501213932
100.0,2000.0,50.0,30.0,22.840613773,22.73,0.11061377300000075,0.486642204135507,20.006890463,19.91,0.09689046300000115,0.48664220492215543,1.4968727897,-18.4131272103,-92.4818041702662,1.501213932
100.0,2000.0,50.0,40.0,10.72276271,10.67,0.05276270999999966,0.49449587628865654,9.2856914191,9.24,0.04569141910000063,0.49449587770563447,0.60311731056,-8.63688268944,-93.47275637922078,0.60382044049
50.0,2000.0,50.0,40.0,10.72276271,10.67,0.05276270999999966,0.49449587628865654,9.2856914191,9.24,0.04569141910000063,0.49449587770563447,0.60311731056,-8.63688268944,-93.47275637922078,0.60382044049
