world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,100.0,50.0,1.0,3675.3767007,3683.0,-7.623299299999871,-0.20698613358674645,3663.401539,3671.0,-7.598461000000043,-0.2069861345682387,224.8328114,-3446.1671886,-93.87543417597385,229.85673912
100.0,100.0,50.0,1.0,3675.3767007,3683.0,-7.623299299999871,-0.20698613358674645,3663.401539,3671.0,-7.598461000000043,-0.2069861345682387,224.8328114,-3446.1671886,-93.87543417597385,229.85673912
100.0,100.0,50.0,10.0,96.172011338,96.91,-0.7379886619999922,-0.761519618202448,91.339097344,92.04,-0.7009026560000109,-0.7615196175575955,3.5668651814,-88.4731348186,-96.12465756040851,3.568093469
50.0,100.0,50.0,10.0,96.172011338,96.91,-0.7379886619999922,-0.761519618202448,91.339097344,92.04,-0.7009026560000109,-0.7615196175575955,3.5668651814,-88.4731348186,-96.12465756040851,3.568093469
100.0,100.0,50.0,20.0,67.772920753,65.73,2.04292075299999,3.108049221055819,58.740655641,56.97,1.7706556409999976,3.1080492206424393,5.7559358549,-51.2140641451,-89.8965493156047,5.7591353466
50.0,100.0,50.0,20.0,67.772920753,65.73,2.04292075299999,3.108049221055819,58.740655641,56.97,1.7706556409999976,3.1080492206424393,5.7559358549,-51.2140641451,-89.8965493156047,5.7591353466
50.0,100.0,50.0,30.0,23.654951414,22.73,0.9249514139999988,4.069297905851292,20.720197213,19.91,0.8101972129999986,4.069297905575081,1.4170477634,-18.4929522366,-92.88273348367655,1.4172415731
100.0,100.0,50.0,30.0,23.654951414,22.73,0.9249514139999988,4.069297905851292,20.720197213,19.91,0.8101972129999986,4.069297905575081,1.4170477634,-18.4929522366,-92.88273348367655,1.4172415731
100.0,100.0,50.0,40.0,10.113490804,10.67,-0.5565091960000004,-5.215643823805064,8.758074511,9.24,-0.481925489,-5.215643820346321,0.58076772021,-8.65923227979,-93.71463506266234,0.58080027124
50.0,100.0,50.0,40.0,10.113490804,10.67,-0.5565091960000004,-5.215643823805064,8.758074511,9.24,-0.481925489,-5.215643820346321,0.58076772021,-8.65923227979,-93.71463506266234,0.58080027124
100.0,100.0,50.0,50.0,5.6507486116,5.949,-0.29825138839999976,-5.013470976634725,4.7968197156,5.05,-0.25318028439999996,-5.013470978217821,0.3467163886,-4.7032836114,-93.13432893861386,0.3467279896
50.0,100.0,50.0,50.0,5.6507486116,5.949,-0.29825138839999976,-5.013470976634725,4.7968197156,5.05,-0.25318028439999996,-5.013470978217821,0.3467163886,-4.7032836114,-93.13432893861386,0.3467279896
100.0,100.0,50.0,60.0,3.7059882612,3.713,-0.007011738800000167,-0.18884295179100907,3.0642025214,3.07,-0.005797478599999906,-0.18884295114006208,0.13193004318,-2.9380699568199997,-95.70260445667752,0.13193172284
