world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,5000.0,50.0,1.0,2147.4886878,3683.0,-1535.5113121999998,-41.69186294325278,2140.4917113,3671.0,-1530.5082886999999,-41.69186294470171,8.7675437305,-3662.2324562695,-99.76116742766276,9.1607850735
100.0,5000.0,50.0,1.0,2147.4886878,3683.0,-1535.5113121999998,-41.69186294325278,2140.4917113,3671.0,-1530.5082886999999,-41.69186294470171,8.7675437305,-3662.2324562695,-99.76116742766276,9.1607850735
100.0,5000.0,50.0,10.0,95.330037685,96.91,-1.579962315000003,-1.6303398152925426,90.539435234,92.04,-1.5005647660000108,-1.6303398152977082,2.3546332523,-89.6853667477,-97.44172832214254,2.3817967543
50.0,5000.0,50.0,10.0,95.330037685,96.91,-1.579962315000003,-1.6303398152925426,90.539435234,92.04,-1.5005647660000108,-1.6303398152977082,2.3546332523,-89.6853667477,-97.44172832214254,2.3817967543
100.0,5000.0,50.0,20.0,65.814937752,65.73,0.08493775200000186,0.1292221999087203,57.043617888,56.97,0.07361788800000113,0.12922220115850647,4.3832460415,-52.5867539585,-92.30604521414779,4.4786479527
50.0,5000.0,50.0,20.0,65.814937752,65.73,0.08493775200000186,0.1292221999087203,57.043617888,56.97,0.07361788800000113,0.12922220115850647,4.3832460415,-52.5867539585,-92.30604521414779,4.4786479527
50.0,5000.0,50.0,30.0,22.697747165,22.73,-0.03225283500000131,-0.1418954465464202,19.881748617,19.91,-0.02825138300000063,-0.1418954445002543,1.4324521028,-18.4775478972,-92.80536362230035,1.4424448061
100.0,5000.0,50.0,30.0,22.697747165,22.73,-0.03225283500000131,-0.1418954465464202,19.881748617,19.91,-0.02825138300000063,-0.1418954445002543,1.4324521028,-18.4775478972,-92.80536362230035,1.4424448061
100.0,5000.0,50.0,40.0,10.669781457,10.67,-0.00021854300000079263,-0.002048200562331702,9.2398107461,9.24,-0.00018925390000035236,-0.0020482023809561944,0.59569458666,-8.64430541334,-93.55308888896103,0.59741333769
50.0,5000.0,50.0,40.0,10.669781457,10.67,-0.00021854300000079263,-0.002048200562331702,9.2398107461,9.24,-0.00018925390000035236,-0.0020482023809561944,0.59569458666,-8.64430541334,-93.55308888896103,0.59741333769
