world_half_cm,thickness_nm,backing_thickness_um,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,5000.0,0.0,1.0,2147.4886878,3683.0,-1535.5113121999998,-41.69186294325278,2140.4917113,3671.0,-1530.5082886999999,-41.69186294470171,8.7675437305,-3662.2324562695,-99.76116742766276,9.1607850735
100.0,5000.0,0.0,1.0,2147.4886878,3683.0,-1535.5113121999998,-41.69186294325278,2140.4917113,3671.0,-1530.5082886999999,-41.69186294470171,8.7675437305,-3662.2324562695,-99.76116742766276,9.1607850735
100.0,5000.0,0.0,10.0,95.65556489,96.91,-1.2544351100000029,-1.2944330925601104,90.848603782,92.04,-1.1913962180000084,-1.294433092133864,2.3411787223,-89.6988212777,-97.45634645556281,2.3680303139
50.0,5000.0,0.0,10.0,95.65556489,96.91,-1.2544351100000029,-1.2944330925601104,90.848603782,92.04,-1.1913962180000084,-1.294433092133864,2.3411787223,-89.6988212777,-97.45634645556281,2.3680303139
100.0,5000.0,0.0,20.0,65.936261314,65.73,0.20626131400000247,0.31380087326943934,57.148772358,56.97,0.17877235800000335,0.31380087414429236,4.392873406,-52.577126594,-92.2891462067755,4.4887010117
50.0,5000.0,0.0,20.0,65.936261314,65.73,0.20626131400000247,0.31380087326943934,57.148772358,56.97,0.17877235800000335,0.31380087414429236,4.392873406,-52.577126594,-92.2891462067755,4.4887010117
50.0,5000.0,0.0,30.0,22.836517567,22.73,0.10651756700000092,0.4686210602727713,20.003302453,19.91,0.09330245299999973,0.46862105976895896,1.4400264124,-18.469973587600002,-92.76732088196887,1.4501255689
100.0,5000.0,0.0,30.0,22.836517567,22.73,0.10651756700000092,0.4686210602727713,20.003302453,19.91,0.09330245299999973,0.46862105976895896,1.4400264124,-18.469973587600002,-92.76732088196887,1.4501255689
100.0,5000.0,0.0,40.0,10.612938691,10.67,-0.05706130899999984,-0.534782652296156,9.190586083,9.24,-0.04941391700000075,-0.5347826515151597,0.57578983394,-8.66421016606,-93.76850829069264,0.57739543547
50.0,5000.0,0.0,40.0,10.612938691,10.67,-0.05706130899999984,-0.534782652296156,9.190586083,9.24,-0.04941391700000075,-0.5347826515151597,0.57578983394,-8.66421016606,-93.76850829069264,0.57739543547
100.0,5000.0,0.0,50.0,5.873727334,5.949,-0.07527266600000004,-1.2652994789040184,4.9861023763,5.05,-0.06389762369999996,-1.2652994792079202,0.28148008456,-4.76851991544,-94.42613693940594,0.281863068
50.0,5000.0,0.0,50.0,5.873727334,5.949,-0.07527266600000004,-1.2652994789040184,4.9861023763,5.05,-0.06389762369999996,-1.2652994792079202,0.28148008456,-4.76851991544,-94.42613693940594,0.281863068
100.0,5000.0,0.0,60.0,3.6366467609,3.713,-0.07635323909999991,-2.056375952060326,3.0068692583,3.07,-0.06313074169999977,-2.056375951140058,0.15020187884,-2.91979812116,-95.10743065667752,0.15031083906
50.0,5000.0,0.0,60.0,3.6366467609,3.713,-0.07635323909999991,-2.056375952060326,3.0068692583,3.07,-0.06313074169999977,-2.056375951140058,0.15020187884,-2.91979812116,-95.10743065667752,0.15031083906
50.0,5000.0,0.0,80.0,7.927227821,7.81,0.11722782100000018,1.5009964276568526,2.9222136872,2.879,0.043213687200000184,1.500996429315741,0.11539524547,-2.76360475453,-95.99182891733241,0.11545954321
100.0,5000.0,0.0,80.0,7.927227821,7.81,0.11722782100000018,1.5009964276568526,2.9222136872,2.879,0.043213687200000184,1.500996429315741,0.11539524547,-2.76360475453,-95.99182891733241,0.11545954321
50.0,5000.0,0.0,100.0,4.4344751353,4.438,-0.00352486470000013,-0.07942462145110703,2.098332083,2.1,-0.0016679170000002408,-0.07942461904763051,0.050750269482,-2.049249730518,-97.58332050085714,0.050762700762
100.0,5000.0,0.0,100.0,4.4344751353,4.438,-0.00352486470000013,-0.07942462145110703,2.098332083,2.1,-0.0016679170000002408,-0.07942461904763051,0.050750269482,-2.049249730518,-97.58332050085714,0.050762700762
