world_half_cm,thickness_nm,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,1000.0,1.0,3786.6491428,3683.0,103.64914279999994,2.814258560955741,3774.3114318,3671.0,103.31143179999981,2.814258561699804,43.844869326,-3627.155130674,-98.80564235014981,45.811737013
100.0,1000.0,1.0,3786.6491428,3683.0,103.64914279999994,2.814258560955741,3774.3114318,3671.0,103.31143179999981,2.814258561699804,43.844869326,-3627.155130674,-98.80564235014981,45.811737013
100.0,1000.0,10.0,95.785903193,96.91,-1.1240968070000008,-1.1599389196161396,90.972392218,92.04,-1.0676077820000103,-1.1599389200347785,3.2775985,-88.76240150000001,-96.43894122120817,3.2880090856
50.0,1000.0,10.0,95.785903193,96.91,-1.1240968070000008,-1.1599389196161396,90.972392218,92.04,-1.0676077820000103,-1.1599389200347785,3.2775985,-88.76240150000001,-96.43894122120817,3.2880090856
100.0,1000.0,20.0,65.273129962,65.73,-0.45687003800000525,-0.6950708017648033,56.574018164,56.97,-0.39598183599999714,-0.6950708021765791,5.2259549184,-51.7440450816,-90.82683005371248,5.2524882143
50.0,1000.0,20.0,65.273129962,65.73,-0.45687003800000525,-0.6950708017648033,56.574018164,56.97,-0.39598183599999714,-0.6950708021765791,5.2259549184,-51.7440450816,-90.82683005371248,5.2524882143
50.0,1000.0,30.0,22.553771793,22.73,-0.1762282070000012,-0.7753110734711887,19.755635565,19.91,-0.15436443500000152,-0.7753110748367731,1.4905832634,-18.4194167366,-92.51339395580109,1.4927314585
100.0,1000.0,30.0,22.553771793,22.73,-0.1762282070000012,-0.7753110734711887,19.755635565,19.91,-0.15436443500000152,-0.7753110748367731,1.4905832634,-18.4194167366,-92.51339395580109,1.4927314585
100.0,1000.0,40.0,10.877635494,10.67,0.2076354939999998,1.9459746391752561,9.419808057,9.24,0.1798080569999989,1.945974642857131,0.61512066839,-8.62487933161,-93.34284990919913,0.615486088
50.0,1000.0,40.0,10.877635494,10.67,0.2076354939999998,1.9459746391752561,9.419808057,9.24,0.1798080569999989,1.945974642857131,0.61512066839,-8.62487933161,-93.34284990919913,0.615486088
100.0,1000.0,50.0,6.0376315755,5.949,0.0886315755,1.4898567070095816,5.1252377637,5.05,0.07523776370000057,1.4898567069307045,0.28404090725,-4.76595909275,-94.37542757920792,0.28411879118
50.0,1000.0,50.0,6.0376315755,5.949,0.0886315755,1.4898567070095816,5.1252377637,5.05,0.07523776370000057,1.4898567069307045,0.28404090725,-4.76595909275,-94.37542757920792,0.28411879118
100.0,1000.0,60.0,3.5614346856,3.713,-0.15156531439999998,-4.082017624562348,2.9446820589,3.07,-0.12531794110000005,-4.082017625407168,0.14254933549,-2.92745066451,-95.35669916970684,0.14256894819
50.0,1000.0,60.0,3.5614346856,3.713,-0.15156531439999998,-4.082017624562348,2.9446820589,3.07,-0.12531794110000005,-4.082017625407168,0.14254933549,-2.92745066451,-95.35669916970684,0.14256894819
50.0,1000.0,80.0,7.6336785503,7.81,-0.17632144969999963,-2.2576369999999955,2.8140026308,2.879,-0.06499736919999988,-2.257636998957967,0.10329877947,-2.77570122053,-96.41199098749566,0.103309078
100.0,1000.0,80.0,7.6336785503,7.81,-0.17632144969999963,-2.2576369999999955,2.8140026308,2.879,-0.06499736919999988,-2.257636998957967,0.10329877947,-2.77570122053,-96.41199098749566,0.103309078
50.0,1000.0,100.0,4.4647772576,4.438,0.02677725760000005,0.6033631726002715,2.1126706266,2.1,0.012670626599999846,0.603363171428564,0.047362028497,-2.052637971503,-97.74466530966667,0.04736419328
100.0,1000.0,100.0,4.4647772576,4.438,0.02677725760000005,0.6033631726002715,2.1126706266,2.1,0.012670626599999846,0.603363171428564,0.047362028497,-2.052637971503,-97.74466530966667,0.04736419328
100.0,1000.0,150.0,1.5463466533,1.581,-0.034653346699999865,-2.1918625363693782,0.91724471316,0.9378,-0.020555286839999964,-2.191862533589248,0.009561860449,-0.928238139551,-98.98039449253572,0.0095619486793
50.0,1000.0,150.0,1.5463466533,1.581,-0.034653346699999865,-2.1918625363693782,0.91724471316,0.9378,-0.020555286839999964,-2.191862533589248,0.009561860449,-0.928238139551,-98.98039449253572,0.0095619486793
100.0,1000.0,200.0,0.83486914133,0.7844,0.05046914133000002,6.434107767720554,0.52291077147,0.4913,0.031610771469999965,6.4341077691837905,0.0039486725389,-0.4873513274611,-99.1962807777529,0.0039486875852
50.0,1000.0,200.0,0.83486914133,0.7844,0.05046914133000002,6.434107767720554,0.52291077147,0.4913,0.031610771469999965,6.4341077691837905,0.0039486725389,-0.4873513274611,-99.1962807777529,0.0039486875852
100.0,1000.0,300.0,0.31097413059,0.3238,-0.012825869409999968,-3.9610467603458828,0.18948485474,0.1973,-0.00781514525999999,-3.9610467612772373,0.00075259965457,-0.19654740034543,-99.61855060589457,0.00075260020114
