world_half_cm,thickness_nm,E_keV,mu_counts_cm2_g,mu_ref_cm2_g,delta_mu_counts_cm2_g,delta_mu_counts_percent,mu_en_cpe_cm2_g,mu_en_ref_cm2_g,delta_mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,mu_en_raw_cm2_g,delta_mu_en_raw_cm2_g,delta_mu_en_raw_percent,mu_eff_cm2_g
50.0,250.0,1.0,3685.7194801,3683.0,2.7194801000000552,0.07383872115123691,3673.7106195,3671.0,2.7106195000001208,0.0738387224189627,145.81918342,-3525.18081658,-96.02780758866794,151.20300666
100.0,250.0,1.0,3685.7194801,3683.0,2.7194801000000552,0.07383872115123691,3673.7106195,3671.0,2.7106195000001208,0.0738387224189627,145.81918342,-3525.18081658,-96.02780758866794,151.20300666
100.0,250.0,10.0,95.232543221,96.91,-1.6774567789999963,-1.73094291507584,90.446840141,92.04,-1.5931598590000107,-1.730942915036952,3.4065499896,-88.63345001040001,-96.29883747327248,3.4093526668
50.0,250.0,10.0,95.232543221,96.91,-1.6774567789999963,-1.73094291507584,90.446840141,92.04,-1.5931598590000107,-1.730942915036952,3.4065499896,-88.63345001040001,-96.29883747327248,3.4093526668
100.0,250.0,20.0,65.971569678,65.73,0.24156967799999052,0.3675181469648418,57.179375088,56.97,0.2093750880000016,0.36751814639284114,5.6314481762,-51.338551823799996,-90.11506375952256,5.6391128751
50.0,250.0,20.0,65.971569678,65.73,0.24156967799999052,0.3675181469648418,57.179375088,56.97,0.2093750880000016,0.36751814639284114,5.6314481762,-51.338551823799996,-90.11506375952256,5.6391128751
50.0,250.0,30.0,23.668311357,22.73,0.9383113569999999,4.128074601847778,20.731899653,19.91,0.8218996529999991,4.12807460070316,1.5218925389,-18.3881074611,-92.35613993520843,1.5224515854
100.0,250.0,30.0,23.668311357,22.73,0.9383113569999999,4.128074601847778,20.731899653,19.91,0.8218996529999991,4.12807460070316,1.5218925389,-18.3881074611,-92.35613993520843,1.5224515854
100.0,250.0,40.0,10.878239634,10.67,0.2082396339999999,1.9516366822867843,9.420331229,9.24,0.1803312290000001,1.9516366774891782,0.60414499741,-8.63585500259,-93.46163422716451,0.60423306865
50.0,250.0,40.0,10.878239634,10.67,0.2082396339999999,1.9516366822867843,9.420331229,9.24,0.1803312290000001,1.9516366774891782,0.60414499741,-8.63585500259,-93.46163422716451,0.60423306865
100.0,250.0,50.0,6.2165678502,5.949,0.26756785019999985,4.49769457387796,5.277133576,5.05,0.22713357599999995,4.497694574257425,0.26747007047,-4.78252992953,-94.7035629609901,0.26748733103
50.0,250.0,50.0,6.2165678502,5.949,0.26756785019999985,4.49769457387796,5.277133576,5.05,0.22713357599999995,4.497694574257425,0.26747007047,-4.78252992953,-94.7035629609901,0.26748733103
100.0,250.0,60.0,3.6508821133,3.713,-0.06211788670000029,-1.6729837516832828,3.0186393988,3.07,-0.051360601199999856,-1.672983752442992,0.16469949223,-2.90530050777,-94.63519569283388,0.1647060367
50.0,250.0,60.0,3.6508821133,3.713,-0.06211788670000029,-1.6729837516832828,3.0186393988,3.07,-0.051360601199999856,-1.672983752442992,0.16469949223,-2.90530050777,-94.63519569283388,0.1647060367
50.0,250.0,80.0,8.4212306856,7.81,0.6112306855999998,7.8262571779769505,3.1043179442,2.879,0.22531794419999995,7.82625717957624,0.10802434845,-2.77097565155,-96.24785173845085,0.10802716375
100.0,250.0,80.0,8.4212306856,7.81,0.6112306855999998,7.8262571779769505,3.1043179442,2.879,0.22531794419999995,7.82625717957624,0.10802434845,-2.77097565155,-96.24785173845085,0.10802716375
50.0,250.0,100.0,4.3672924902,4.438,-0.07070750980000007,-1.5932291527715203,2.0665421878,2.1,-0.03345781219999999,-1.5932291523809519,0.04161626943,-2.05838373057,-98.01827288428572,0.04161668726
100.0,250.0,100.0,4.3672924902,4.438,-0.07070750980000007,-1.5932291527715203,2.0665421878,2.1,-0.03345781219999999,-1.5932291523809519,0.04161626943,-2.05838373057,-98.01827288428572,0.04161668726
100.0,250.0,150.0,1.3994360934,1.581,-0.18156390659999988,-11.484118064516121,0.83010194079,0.9378,-0.10769805920999997,-11.48411806461932,0.0098403468048,-0.9279596531952,-98.95069878387717,0.0098403701657
50.0,250.0,150.0,1.3994360934,1.581,-0.18156390659999988,-11.484118064516121,0.83010194079,0.9378,-0.10769805920999997,-11.48411806461932,0.0098403468048,-0.9279596531952,-98.95069878387717,0.0098403701657
100.0,250.0,200.0,0.72551557367,0.7844,-0.05888442633000002,-7.50693859382968,0.45441841069,0.4913,-0.03688158931000002,-7.506938593527379,0.0038979093264,-0.4874020906736,-99.20661320447792,0.0038979129918
50.0,250.0,200.0,0.72551557367,0.7844,-0.05888442633000002,-7.50693859382968,0.45441841069,0.4913,-0.03688158931000002,-7.506938593527379,0.0038979093264,-0.4874020906736,-99.20661320447792,0.0038979129918
100.0,250.0,300.0,0.34199712746,0.3238,0.018197127460000018,5.619866417541698,0.20838799644,0.1973,0.011087996439999998,5.619866416624428,0.00033435682211,-0.19696564317789,-99.83053379517993,0.00033435684899
50.0,250.0,300.0,0.34199712746,0.3238,0.018197127460000018,5.619866417541698,0.20838799644,0.1973,0.011087996439999998,5.619866416624428,0.00033435682211,-0.19696564317789,-99.83053379517993,0.00033435684899
100.0,250.0,500.0,0.17617329058,0.1378,0.03837329058,27.847090406386066,0.095118235262,0.0744,0.020718235262000007,27.84709040591399,0.00085084310881,-0.07354915689118999,-98.85639367095429,0.00085084328346
50.0,250.0,500.0,0.17617329058,0.1378,0.03837329058,27.847090406386066,0.095118235262,0.0744,0.020718235262000007,27.84709040591399,0.00085084310881,-0.07354915689118999,-98.85639367095429,0.00085084328346
100.0,250.0,1000.0,0.093266347213,0.06618,0.027086347213000003,40.92829739045029,0.046168110225,0.03276,0.013408110225000006,40.92829739010991,0.00013265637306,-0.032627343626939996,-99.59506601630036,0.00013265637741
50.0,250.0,1000.0,0.093266347213,0.06618,0.027086347213000003,40.92829739045029,0.046168110225,0.03276,0.013408110225000006,40.92829739010991,0.00013265637306,-0.032627343626939996,-99.59506601630036,0.00013265637741
100.0,250.0,1500.0,0.08290321248,0.05,0.03290321248,65.80642496,0.04118631596,0.02484,0.016346315959999996,65.80642495974234,9.2746252159e-05,-0.024747253747841,-99.62662539388486,9.2746254204e-05
50.0,250.0,1500.0,0.08290321248,0.05,0.03290321248,65.80642496,0.04118631596,0.02484,0.016346315959999996,65.80642495974234,9.2746252159e-05,-0.024747253747841,-99.62662539388486,9.2746254204e-05
50.0,250.0,2000.0,0.051814119182,0.04433,0.007484119181999996,16.882741218136694,0.026368746419,0.02256,0.0038087464189999996,16.882741218971628,1.6522279793e-06,-0.0225583477720207,-99.99267629441799,1.6522279234e-06
100.0,250.0,2000.0,0.051814119182,0.04433,0.007484119181999996,16.882741218136694,0.026368746419,0.02256,0.0038087464189999996,16.882741218971628,1.6522279793e-06,-0.0225583477720207,-99.99267629441799,1.6522279234e-06
50.0,250.0,5000.0,0.072540129563,0.04103,0.031510129563000006,76.79778104557643,0.044376243043,0.0251,0.019276243043,76.79778104780877,2.5389098446e-05,-0.025074610901554002,-99.89884821336256,2.5389098694e-05
100.0,250.0,5000.0,0.072540129563,0.04103,0.031510129563000006,76.79778104557643,0.044376243043,0.0251,0.019276243043,76.79778104780877,2.5389098446e-05,-0.025074610901554002,-99.89884821336256,2.5389098694e-05
