run_id,world_half_cm,thickness_nm,density_g_cm3,E_keV,N_injected,N_uncollided,N_trans_total,T_counts,mu_counts_per_mm,mu_counts_cm2_g,mu_calc_per_mm,mu_calc_cm2_g,mu_tr_per_mm,mu_tr_cm2_g,mu_ref_cm2_g,mu_en_ref_cm2_g,delta_mu_percent,delta_mu_en_percent,sigma_T_counts,sigma_mu_counts_cm2_g,mu_en_cpe_per_mm,mu_en_cpe_cm2_g,delta_mu_en_cpe_percent,absorbed_fraction,mu_en_per_mm,mu_en_cm2_g,mu_en_raw_per_mm,mu_en_raw_cm2_g,mu_eff_per_mm,mu_eff_cm2_g,E_trans_unc_keV,E_trans_tot_keV,E_abs_keV,T_energy_tot
0,1.0000000000e+02,2.5000000000e+02,1.9300000000e+01,6.0000000000e+01,2.0000000000e+05,1.9963700000e+05,1.9963700000e+05,9.9818500000e-01,7.2665964329e+00,3.7650758720e+00,7.0283824513e+00,3.6416489385e+00,6.1721593481e+00,3.1980100249e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.5176304168e-05,1.9761526065e-01,6.1721593481e+00,3.1980100249e+00,0.0000000000e+00,7.5616143333e-05,6.1721593481e+00,3.1980100249e+00,3.0246457333e-01,1.5671739551e-01,3.0247600951e-01,1.5672332099e-01,1.1978220000e+07,1.1978220000e+07,9.0739372000e+02,9.9818500000e-01
1,1.0000000000e+02,2.5000000000e+02,1.9300000000e+01,8.0000000000e+01,2.0000000000e+05,1.9928500000e+05,1.9928500000e+05,9.9642500000e-01,1.4325622335e+01,7.4226022460e+00,1.5104797765e+01,7.8263200854e+00,1.4451440180e+01,7.4877928394e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3345822146e-04,2.7758973347e-01,1.4451440180e+01,7.4877928394e+00,0.0000000000e+00,4.0767936875e-05,1.4451440180e+01,7.4877928394e+00,1.6307174750e-01,8.4493133420e-02,1.6307507164e-01,8.4494855772e-02,1.5942800000e+07,1.5942800000e+07,6.5228699000e+02,9.9642500000e-01
2,1.0000000000e+02,2.5000000000e+02,1.9300000000e+01,5.0000000000e+02,2.0000000000e+05,1.9999100000e+05,1.9999100000e+05,9.9995500000e-01,1.8000405012e-01,9.3266347213e-02,2.6555034714e-01,1.3759085344e-01,1.6051475126e-01,8.3168264902e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.4999662496e-05,3.1088782407e-02,1.6051475126e-01,8.3168264902e-02,0.0000000000e+00,1.2666500000e-08,1.6051475126e-01,8.3168264902e-02,5.0666000000e-05,2.6251813472e-05,5.0666000161e-05,2.6251813555e-05,9.9995500000e+07,9.9995500000e+07,1.2666500000e+00,9.9995500000e-01
3,1.0000000000e+02,2.5000000000e+02,1.9300000000e+01,1.0000000000e+03,2.0000000000e+05,1.9999300000e+05,1.9999300000e+05,9.9996500000e-01,1.4000245006e-01,7.2540129563e-02,1.2721952737e-01,6.5916853562e-02,6.7860004790e-02,3.5160624243e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3228525050e-05,2.7417591844e-02,6.7860004790e-02,3.5160624243e-02,0.0000000000e+00,2.1758500000e-09,6.7860004790e-02,3.5160624243e-02,8.7034000000e-06,4.5095336788e-06,8.7033997881e-06,4.5095335690e-06,1.9999300000e+08,1.9999300000e+08,4.3517000000e-01,9.9996500000e-01
